Title,URL,Index
An Iranian girl’s journey to the US could save her eyesight,http://nypost.com/2017/02/05/this-iranian-girl-may-go-blind-if-she-cant-enter-the-us/,139
Sorry: Trump’s immigration order is totally legal,http://nypost.com/2017/02/06/sorry-trumps-immigration-order-is-totally-legal/,140
Stop copying Trump to try to counter him,http://nypost.com/2017/05/09/stop-copying-trump-to-try-to-counter-him/,141
US tourists leave North Korea before travel ban takes effect,http://nypost.com/2017/08/31/us-tourists-leave-north-korea-before-travel-ban-takes-effect/,142
Trump: Anti-immigration ban judges can’t read,http://nypost.com/2017/02/08/trump-anti-immigration-ban-judges-cant-read/,143
"No, Trump’s immigration order is NOT ‘recruiting terrorists’",http://nypost.com/2017/02/11/no-trumps-immigration-order-is-not-recruiting-terrorists/,144
State Department downplays number of visas canceled since immigration ban,http://nypost.com/2017/02/03/state-deptartment-downplays-number-of-visas-canceled-since-immigration-ban/,145
"No, Trump’s immigration plan isn’t ‘un-American’",http://nypost.com/2017/01/30/no-trumps-immigration-plan-isnt-un-american/,146
Trump seems to confirm the CIA docs released by WikiLeaks,http://nypost.com/2017/03/16/trump-seems-to-confirm-the-cia-docs-released-by-wikileaks/,147
Grandparents of Muslim citizens can now freely enter the US,http://nypost.com/2017/07/18/grandparents-of-muslim-citizens-can-now-freely-enter-the-us/,148
Yara Shahidi calls halt to Trump ban an ‘early birthday present’,http://nypost.com/ss-post/yara-shahidi-calls-halt-to-trump-ban-an-early-birthday-present/,149
Afghan all-girl robotics team denied US visas for competition,http://nypost.com/2017/07/03/afghan-all-girl-robotics-team-denied-us-visas-for-competition/,150
Uber’s still pretty popular despite boycott,http://nypost.com/2017/02/08/ubers-still-pretty-popular-despite-boycott/,151
Trump administration already using ‘extreme vetting’ on visitors’ social media,http://nypost.com/2017/06/06/trump-administration-already-using-extreme-vetting-on-visitors-social-media/,152
Schneiderman officially in on immigration ban lawsuit,http://nypost.com/2017/02/02/schneiderman-officially-in-on-immigration-ban-lawsuit/,153
Muhammad Ali Jr. suing Trump over airport detentions,http://nypost.com/2017/04/28/muhammad-ali-jr-suing-trump-over-airport-detentions/,154
Cuomo offers to help Iranian infant who can’t get into US for transplant,http://nypost.com/2017/02/03/cuomo-offers-to-help-iranian-infant-who-cant-get-into-us-for-transplant/,155
Google tells staffers to return to US amid immigration ban,http://nypost.com/2017/01/28/google-tells-staffers-to-return-to-us-amid-immigration-ban/,156
Trump says blame immigration ban judge if something bad happens,http://nypost.com/2017/02/05/trump-says-blame-immigration-ban-judge-if-something-bad-happens/,157
Trump calls US legal system ‘broken’ and ‘dangerous’,http://nypost.com/2017/02/11/trump-calls-us-legal-system-broken-and-dangerous/,158
Pence’s old tweet completely contradicts immigration ban,http://nypost.com/2017/01/29/pences-old-tweet-completely-contradicts-immigration-ban/,159
American politics is now all about one thing: impeachment,http://nypost.com/2017/06/12/american-politics-is-now-all-about-one-thing-impeachment/,160
Trump: McCain and Graham are trying to start ‘World War III’,http://nypost.com/2017/01/30/trump-mccain-and-graham-are-trying-to-start-world-war-iii/,161
US arrests nearly 200 Iraqi immigrants in massive deportation sweep,http://nypost.com/2017/06/15/us-arrests-nearly-200-iraqi-immigrants-in-massive-deportation-sweep/,162
British government cancels plan for Trump to address Parliament,http://nypost.com/2017/02/10/british-government-cancels-plan-for-trump-to-speak-to-parliament/,163
"ACLU, DOJ settle legal challenge against Trump travel ban",http://nypost.com/2017/08/29/aclu-doj-settle-legal-challenge-against-trump-travel-ban/,164
Potential legal immigrants to undergo in-person interviews,http://nypost.com/2017/08/27/potential-legal-immigrants-to-undergo-in-person-interviews/,165
Syrian grandma at center of travel ban lawsuit arrives in Hawaii,http://nypost.com/2017/08/13/syrian-grandma-at-center-of-travel-ban-lawsuit-arrives-in-hawaii/,166
Grandparents of Muslim citizens can now freely enter the US,http://nypost.com/2017/07/18/grandparents-of-muslim-citizens-can-now-freely-enter-the-us/,167
Judge expands list of relatives exempted from Trump travel ban,http://nypost.com/2017/07/14/judge-expands-list-of-relatives-exempted-from-trump-travel-ban/,168
Iranian doctor denied US entry was militia fighter,http://nypost.com/2017/07/13/iranian-doctor-denied-us-entry-was-iranian-militia-fighter/,169
Federal judge denies Hawaii’s motion on Trump travel ban,http://nypost.com/2017/07/06/federal-judge-denies-hawaiis-motion-on-trump-travel-ban/,170
Afghan all-girl robotics team denied US visas for competition,http://nypost.com/2017/07/03/afghan-all-girl-robotics-team-denied-us-visas-for-competition/,171
Hawaii throws wrench in Trump’s revised travel ban,http://nypost.com/2017/06/29/hawaii-throws-wrench-in-trumps-revised-travel-ban/,172
Trump’s revised travel ban officially goes into effect,http://nypost.com/2017/06/29/trumps-revised-travel-ban-officially-goes-into-effect/,173
Team Trump dodges questions on travel ban blocking family visits,http://nypost.com/2017/06/29/team-trump-dodges-questions-on-travel-ban-blocking-family-visits/,174
US issues new visa criteria for 6 Muslim nations,http://nypost.com/2017/06/28/us-issues-new-visa-criteria-for-6-muslim-nations/,175
"Trump’s travel ban triumph, Hollywood liberals’ failure and other notable commentary",http://nypost.com/2017/06/27/trumps-travel-ban-triumph-hollywood-liberals-failure-and-other-notable-commentary/,176
What you need to know about Trump’s travel ban,http://nypost.com/2017/06/27/what-you-need-to-know-about-trumps-travel-ban/,177
A Supreme win for Trump and the rule of law,http://nypost.com/2017/06/26/a-supreme-win-for-trump-and-the-rule-of-law/,178
The Supreme Court’s biggest rulings before summer recess,http://nypost.com/2017/06/26/the-supreme-courts-biggest-rulings-before-summer-recess/,179
Trump visits Supreme Court as justices weigh travel ban,http://nypost.com/2017/06/15/trump-headed-to-supreme-court-as-justices-weigh-travel-ban/,180
Trump rips appeals court after latest travel ban ruling,http://nypost.com/2017/06/13/trump-rips-appeals-court-and-media-in-morning-tweetstorm/,181
Trump takes to Twitter to defend earlier tweets,http://nypost.com/2017/06/06/trump-takes-to-twitter-to-defend-earlier-tweets/,182
Trump administration already using ‘extreme vetting’ on visitors’ social media,http://nypost.com/2017/06/06/trump-administration-already-using-extreme-vetting-on-visitors-social-media/,183
Trump scolds DOJ for sending ‘politically correct’ travel ban to Supreme Court,http://nypost.com/2017/06/05/trump-says-doj-shouldnt-have-sent-politically-correct-travel-ban/,184
Republicans question Trump’s latest push for a travel ban,http://nypost.com/2017/06/04/republicans-question-trumps-latest-push-for-a-travel-ban/,185
Trump asks Supreme Court to reinstate travel ban,http://nypost.com/2017/06/01/trump-asks-supreme-court-to-reinstate-travel-ban/,186
The federal courts just joined ‘the resistance’,http://nypost.com/2017/05/31/the-federal-courts-just-joined-the-resistance/,187
US slashes visas issued to visitors from travel-ban countries,http://nypost.com/2017/05/26/us-slashes-number-of-visas-issued-to-visitors-from-travel-ban-countries/,188
Appeals court refuses to reinstate Trump’s travel ban,http://nypost.com/2017/05/25/appeals-court-refuses-to-reinstate-trumps-travel-ban/,189
Judges grill lawyer defending Trump’s travel ban,http://nypost.com/2017/05/16/judges-grill-lawyer-defending-trumps-travel-ban/,190
Another appeals court to weigh Trump’s revised travel ban,http://nypost.com/2017/05/15/another-appeals-court-to-weigh-trumps-revised-travel-ban/,191
First lawsuit against Trump’s travel ban is wrapping up,http://nypost.com/2017/05/10/first-lawsuit-against-trumps-travel-ban-is-wrapping-up/,192
Stop copying Trump to try to counter him,http://nypost.com/2017/05/09/stop-copying-trump-to-try-to-counter-him/,193
Muhammad Ali Jr. suing Trump over airport detentions,http://nypost.com/2017/04/28/muhammad-ali-jr-suing-trump-over-airport-detentions/,194
Trump considering breakup of appeals court that opposed him,http://nypost.com/2017/04/26/trump-considering-break-up-of-appeals-court-that-opposed-him/,195
Salma Hayek slams Trump’s ‘dumb’ border wall,http://pagesix.com/2017/04/26/salma-hayek-slams-trumps-dumb-border-wall/,196
Trump spurs influx of protests city hasn’t seen since 1960s,http://nypost.com/2017/04/24/trump-spurs-influx-of-protests-city-hasnt-seen-since-1960s/,197
Sessions says critics have ‘no sense of humor’ after Hawaii gaffe,http://nypost.com/2017/04/23/sessions-says-critics-have-no-sense-of-humor-after-hawaii-gaffe/,198
DOJ issues ultimatum to NYC and other ‘sanctuary’ cities,http://nypost.com/2017/04/21/doj-calls-out-sanctuary-new-york-in-crackdown-threat/,199
Hawaii reminds Jeff Sessions its actually a state,http://nypost.com/2017/04/20/hawaii-reminds-jeff-sessions-theyre-actually-a-state/,200
Security restrictions force Emirates to scale back flights to US,http://nypost.com/2017/04/19/security-restrictions-force-emirates-to-scale-back-flights-to-us/,201
Trump’s travel ban is hitting luxury hotels the hardest,http://nypost.com/2017/04/12/trumps-travel-ban-is-hitting-luxury-hotels-the-hardest/,202
‘This is the Trump era’: Sessions takes aim at illegal immigration,http://nypost.com/2017/04/11/this-is-the-trump-era-sessions-takes-aim-at-illegal-immigration/,203
